"country_name","energy_use_percapita","gni_per_capita","birth_rate","death_rate","fertility_rate","life_expectancy","infant_mortality_rate","urban_pop_pct","birthCat","deathCat","gni_hi_ind"
"Afghanistan",NA,300,45.404,16.935,6.7,47.20531707,80.5,22.4248,"High","High",0
"Albania",671.0075039,3310,13.041,5.918,1.635,76.47341463,15.9,49.0112,"Low","Low",0
"Algeria",1085.247963,3620,20.761,4.89,2.383,72.15090244,29.9,68.823,"Low","Low",0
"Angola",605.8081979,2590,44.26,15.451,5.898,49.43529268,104,55.7174,"High","High",0
"Arab World",1619.73839,4765.749821,26.57895043,5.857114048,3.359542496,69.60783095,37.59494712,55.31466687,"High","Low",0
"Argentina",1867.240189,6050,17.476,7.723,2.254,75.11497561,14.4,91.7688,"Low","Low",1
"Armenia",925.5551316,2570,15.125,8.589,1.731,73.32782927,18.8,64.1368,"Low","High",0
"Australia",5929.288409,37110,13.4,6.6,1.931,81.29268293,4.5,88.5276,"Low","Low",1
"Austria",4008.350653,42500,9.2,9,1.38,79.98292683,3.8,66.902,"Low","High",1
"Azerbaijan",1417.769569,2710,18,6.3,2.3,69.74865854,44.9,52.7938,"Low","Low",0
"Bahamas, The",2155.92606,24960,15.43,5.413,1.876,74.36543902,13.8,83.4664,"Low","Low",1
"Bahrain",9456.593856,18670,20.674,2.793,2.609,74.63129268,9.2,88.4986,"Low","Low",1
"Bangladesh",184.024701,520,21.895,6.3,2.427,67.66665854,44.6,26.5392,"Low","Low",0
"Barbados",1476.338092,11060,10.794,8.8,1.518,76.12936585,16.6,42.2648,"Low","High",1
"Belarus",2891.955576,4250,10.68,13.71,1.37,70.20341463,5.8,73.2584,"Low","High",0
"Belgium",5366.718146,41450,11.7,9.5,1.82,79.53414634,3.8,97.3576,"Low","High",1
"Belize",571.4285714,3570,25.446,3.919,2.971,75.11185366,16.9,45.7718,"High","Low",0
"Benin",395.3433763,630,40.846,12.517,5.511,54.43073171,74.2,42.305,"High","High",0
"Bhutan",354.3519208,1500,21.892,7.163,2.668,65.75909756,49.2,32.4962,"Low","Low",0
"Bolivia",571.8441079,1240,27.703,7.533,3.551,65.34773171,45.5,65.073,"High","Low",0
"Bosnia and Herzegovina",1479.142818,3820,8.901,9.353,1.179,74.96860976,7.4,46.2492,"Low","High",0
"Botswana",1062.192743,5950,24.266,13.242,2.91,52.06895122,24.9,58.7828,"High","High",1
"Brazil",1240.222406,6110,16.788,6.4,1.944,72.10995122,18.9,83.4344,"Low","Low",1
"Brunei Darussalam",8795.38453,30720,20.258,3.112,2.119,77.52419512,6.2,74.3496,"Low","Low",1
"Bulgaria",2624.43634,4530,9.8,14.8,1.42,72.66341463,12.6,71.117,"Low","High",0
"Burkina Faso",NA,430,43.969,12.786,5.961,53.47695122,85.6,23.189,"High","High",0
"Burundi",NA,170,34.438,14.934,4.736,48.54663415,91.2,9.8818,"High","High",0
"Cambodia",373.3632327,590,23.31,8.322,2.84,61.06458537,48.1,19.43,"High","High",0
"Cameroon",345.489504,1060,37.331,15.051,4.696,49.81517073,82.6,49.7294,"High","High",0
"Canada",8259.865484,40320,11.1,7.15,1.66,80.80439024,5.1,80.2948,"Low","Low",1
"Cape Verde",213.2403633,2570,22.268,5.254,2.659,73.01085366,22.2,59.3466,"High","Low",0
"Caribbean small states",4130.252417,7773.29173,16.97508846,6.690938326,2.176491636,71.33184819,21.30856413,42.39641177,"Low","Low",1
